GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
USA00702696,61.633,-149.033,236.0,AK,LAZY MTN/WOLVERINE,,,,,US
USA00727944,47.717,-122.717,76.0,WA,BANGOR (NPMOF COMP),,,,,US
USA00742066,47.95,-122.3,1.0,WA,MULKITEO (CGS),,,,,US
USA00749169,34.133,-118.133,231.0,CA,PASADENA,,,,,US
USA00749221,61.15,-150.233,15.0,AK,FIRE ISLAND,,,,,US
USA00911681,21.583,-158.117,5.0,HI,WAIALUA-ON-OAHU,,,,,US
USA00911831,21.317,-157.65,164.0,HI,MAKAPUU POINT,,,,,US
USC00022329,34.2097,-112.3453,1804.4,AZ,CROWN KING,,,,,US
USC00025344,34.3709,-112.1827,1252.1,AZ,MAYER NO. 2,,,,,US
USC00040883,38.9091,-120.6677,1345.4,CA,BLODGETT EXPER FOREST,,,,,US
USC00041005,37.1422,-122.1963,662.9,CA,BOULDER CR LOCAT RCH,,,,,US
USC00041194,34.1866,-118.348,199.6,CA,BURBANK VALLEY PUMP PLANT,,,,,US
USC00041272,34.3899,-117.5758,1463.0,CA,CAJON WEST SUMMIT,,,,,US
USC00041428,38.2486,-120.8433,200.6,CA,CAMP PARDEE,,,,,US
USC00042294,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,,,,US
USC00042935,38.288,-122.0344,33.5,CA,FAIRFIELD 3 NNE,,,,,US
USC00043038,38.5251,-120.6982,661.4,CA,FIDDLETOWN DEXTER RCH,,,,,US
USC00043384,38.933,-120.8008,914.7,CA,GEORGETOWN RS,,,,,US
USC00043573,39.2041,-121.068,731.5,CA,GRASS VALLEY NO. 2,,,,,US
USC00044712,38.492,-122.0039,57.0,CA,LAKE SOLANO,,,,,US
USC00045996,37.9027,-122.6033,446.5,CA,MOUNT TAMALPAIS 2 SW,,,,,US
USC00046624,34.5883,-118.0938,796.1,CA,PALMDALE,,,,,US
USC00046826,38.2577,-122.6077,6.1,CA,PETALUMA AIRPORT,,,,,US
USC00046964,38.7311,-120.8469,475.5,CA,PLACERVILLE DISP. PLANT,,,,,US
USC00048261,34.2838,-118.8119,201.2,CA,SIMI SANITATION PLANT,,,,,US
USC00049605,39.0277,-121.3908,32.0,CA,WHEATLAND 2 NE,,,,,US
USC00082229,29.0667,-81.2833,8.8,FL,DELAND 3 NE,,,,,US
USC00085076,28.8728,-81.7844,20.7,FL,LISBON,,,,,US
USC00085237,29.2003,-81.9306,25.9,FL,LYNNE,,,,,US
USC00140957,39.0636,-94.896,259.1,KS,BONNER SPRINGS,,,,,US
USC00143686,38.6645,-94.8901,307.8,KS,HILLSDALE LAKE,,,,,US
USC00144370,39.0479,-95.1929,332.2,KS,KU-FIELD STATION,,,,,US
USC00147756,38.7814,-94.6689,326.4,KS,STILWELL 1N,,,,,US
USC00232568,38.868,-94.0352,259.1,MO,ELM,,,,,US
USC00233219,39.1753,-94.5937,283.5,MO,GLADSTONE,,,,,US
USC00234377,39.2783,-94.6636,313.9,MO,KANSAS CITY -NWSTC,,,,,US
USC00237116,39.2422,-93.97,213.4,MO,RICHMOND 3S,,,,,US
USC00237862,39.3902,-94.5497,275.5,MO,SMITHVILLE LAKE,,,,,US
USC00238524,38.9482,-94.397,287.1,MO,UNITY VILLAGE,,,,,US
USC00238712,38.7841,-93.8008,242.6,MO,WARRENSBURG 4NW,,,,,US
USC00305426,41.772,-74.1537,336.5,NY,MOHONK LAKE,,,,,US
USC00305435,41.6667,-74.7833,338.9,NY,MONGAUP VALLEY,,,,,US
USC00306825,41.7167,-73.9333,15.2,NY,POUGHKEEPSIE 1 N,,,,,US
USC00351033,45.3853,-122.0458,298.1,OR,BRIGHTWOOD 1 WNW,,,,,US
USC00351222,45.6898,-123.1906,106.7,OR,BUXTON,,,,,US
USC00351735,45.1728,-122.4342,204.2,OR,COLTON,,,,,US
USC00352697,45.0767,-121.9714,670.6,OR,ESTACADA 24 SE,,,,,US
USC00353318,45.6561,-123.3108,196.3,OR,GLENWOOD 2 WNW,,,,,US
USC00353340,45.9898,-122.9256,161.5,OR,GOBLE 3 SW,,,,,US
USC00353402,45.3008,-121.7425,1213.1,OR,GOVERNMENT CAMP,,,,,US
USC00357127,45.3033,-122.9133,157.0,OR,REX 1 S,,,,,US
