"record_type","start_date_utc","end_date_utc_inclusive","window_start_inclusive","window_end_exclusive","timezone","dataset","classification","requested_model","constituent_model","comparison_method","weighting","interval_semantics","notes","location_id","location_name","requested_latitude","requested_longitude","variable","unit","expected_count","valid_count","missing_count","absent_source_count","null_value_count","status","mean","min","max","shared_valid_count","sum_available_mm","complete_window_total_mm","chunk_id","chunk_start_date_utc","chunk_end_date_utc_inclusive","source_latitude","source_longitude","source_elevation_m","provider","retrieved_at","source_issued_at","source_updated_at","cell_selection","downscaling","adapter_method","source_documentation","attribution"
"export_metadata","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","Summary snapshot, not original hourly source values. SI units independent of display units. Blank means unavailable or not applicable, never zero. Source issue/update times and constituent model unavailable. Means use each location’s available hours, not shared intersection. Partial rain sum is not a complete-window total. No rankings, station observations or WBGT. Text control characters replaced by spaces; formula-like text prefixed with apostrophe. Request URLs omitted.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","38.75212,-121.28801","Roseville, Placer, California, United States","38.75212","-121.28801","temperatureC","°C","24","24","0","0","0","complete","25.166666666666668","17","35.5","24","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","38.75212,-121.28801","Roseville, Placer, California, United States","38.75212","-121.28801","dewPointC","°C","24","24","0","0","0","complete","12.120833333333332","9.8","15.4","24","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","38.75212,-121.28801","Roseville, Placer, California, United States","38.75212","-121.28801","humidityPercent","%","24","24","0","0","0","complete","47.166666666666664","24","73","24","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","38.75212,-121.28801","Roseville, Placer, California, United States","38.75212","-121.28801","windSpeedMs","m/s","24","24","0","0","0","complete","2.4208333333333334","1.14","3.94","24","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","38.75212,-121.28801","Roseville, Placer, California, United States","38.75212","-121.28801","precipitationMm","mm","24","24","0","0","0","complete","0","0","0","24","0","0","","","","","","","","","","","","","","",""
"source_chunk","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","Source chunk may include padding beyond summary window; grid coordinates belong to this chunk. Retrieval is not source freshness.","38.75212,-121.28801","Roseville, Placer, California, United States","38.75212","-121.28801","","","","","","","","","","","","","","","location-0:chunk-0","2020-07-15","2020-07-16","38.75","-121.25","54","Open-Meteo","2026-09-11T01:21:28.154Z","","","land","provider default elevation adjustment","reanalysis-adapter-v1","https://open-meteo.com/en/docs/historical-weather-api","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF"
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","21.30694,-157.85834","Honolulu, Honolulu County, Hawaii, United States","21.30694","-157.85834","temperatureC","°C","24","24","0","0","0","complete","27.141666666666666","24.8","30.1","24","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","21.30694,-157.85834","Honolulu, Honolulu County, Hawaii, United States","21.30694","-157.85834","dewPointC","°C","24","24","0","0","0","complete","21.370833333333334","20.3","22.2","24","","","","","","","","","","","","","","","","",""
"variable_summary","2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z","2020-07-16T00:00:00.000Z","UTC","ERA5 (requested)","modeled_reanalysis","era5","","era5-comparison-v1","equal hourly slots; leap day retained; available values only","instant samples start-inclusive/end-exclusive; precipitation intervals fully contained in window","","21.30694,-157.85834","Honolulu, Honolulu County, Hawaii, United States","21.30694","-157.85834","humidityPercent","%","24","24","0","0","0","complete","71.375","56","82","24","","","","","","","","","","","","","","","","",""
