"location_name","requested_latitude","requested_longitude","start_date_utc","end_date_utc","time_utc","temperature_C","relative_humidity_percent","precipitation_mm","wind_speed_m_s","dew_point_C","precipitation_interval_start_utc","precipitation_interval_end_utc","source_hour_present","missing_fields","completeness_status","expected_hours","source_hours","complete_hours","provider","dataset","requested_model","constituent","classification","source_latitude","source_longitude","source_elevation_m","retrieved_at_utc","source_issued_at_utc","source_updated_at_utc","cell_selection","downscaling","interval_semantics","calculation_version","attribution","source_url","request_url"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z",40,25,0,6.1,16.1,"2020-07-14T23:00:00.000Z","2020-07-15T00:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T01:00:00.000Z",39.1,26,0,5.91,16.3,"2020-07-15T00:00:00.000Z","2020-07-15T01:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T02:00:00.000Z",36.1,37,0,6.84,19,"2020-07-15T01:00:00.000Z","2020-07-15T02:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T03:00:00.000Z",32,59,0,6.89,22.9,"2020-07-15T02:00:00.000Z","2020-07-15T03:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T04:00:00.000Z",30.4,63,0,6.58,22.5,"2020-07-15T03:00:00.000Z","2020-07-15T04:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T05:00:00.000Z",28.9,69,0,6.2,22.7,"2020-07-15T04:00:00.000Z","2020-07-15T05:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T06:00:00.000Z",28.3,73,0,5.61,22.9,"2020-07-15T05:00:00.000Z","2020-07-15T06:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T07:00:00.000Z",27.8,74,0,5.4,22.9,"2020-07-15T06:00:00.000Z","2020-07-15T07:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T08:00:00.000Z",27.4,76,0,5.61,22.8,"2020-07-15T07:00:00.000Z","2020-07-15T08:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Austin, Travis, Texas, United States",30.26715,-97.74306,"2020-07-15","2020-07-15","2020-07-15T09:00:00.000Z",26.6,80,0,5.54,22.9,"2020-07-15T08:00:00.000Z","2020-07-15T09:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",30.25,-97.75,157,"2026-09-11T01:13:37.412Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=30.26715&longitude=-97.74306&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
