"location_name","requested_latitude","requested_longitude","start_date_utc","end_date_utc","time_utc","temperature_C","relative_humidity_percent","precipitation_mm","wind_speed_m_s","dew_point_C","precipitation_interval_start_utc","precipitation_interval_end_utc","source_hour_present","missing_fields","completeness_status","expected_hours","source_hours","complete_hours","provider","dataset","requested_model","constituent","classification","source_latitude","source_longitude","source_elevation_m","retrieved_at_utc","source_issued_at_utc","source_updated_at_utc","cell_selection","downscaling","interval_semantics","calculation_version","attribution","source_url","request_url"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T00:00:00.000Z",30.1,57,0,5.06,20.7,"2020-07-14T23:00:00.000Z","2020-07-15T00:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T01:00:00.000Z",29.9,56,0,5.29,20.3,"2020-07-15T00:00:00.000Z","2020-07-15T01:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T02:00:00.000Z",30,57,0,5.39,20.4,"2020-07-15T01:00:00.000Z","2020-07-15T02:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T03:00:00.000Z",28.6,64,0,5.57,21.2,"2020-07-15T02:00:00.000Z","2020-07-15T03:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T04:00:00.000Z",27.4,70,0,5.85,21.5,"2020-07-15T03:00:00.000Z","2020-07-15T04:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T05:00:00.000Z",26.5,76,0,5.6,21.9,"2020-07-15T04:00:00.000Z","2020-07-15T05:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T06:00:00.000Z",26.5,78,0,5.44,22.2,"2020-07-15T05:00:00.000Z","2020-07-15T06:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T07:00:00.000Z",26.3,77,0,5.35,22,"2020-07-15T06:00:00.000Z","2020-07-15T07:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T08:00:00.000Z",26.3,76,0,5.44,21.8,"2020-07-15T07:00:00.000Z","2020-07-15T08:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"Honolulu, Honolulu County, Hawaii, United States",21.30694,-157.85834,"2020-07-15","2020-07-15","2020-07-15T09:00:00.000Z",25.5,79,0,5.47,21.6,"2020-07-15T08:00:00.000Z","2020-07-15T09:00:00.000Z",true,"","complete",24,24,24,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,7,"2026-09-11T08:17:29.786Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.30694&longitude=-157.85834&start_date=2020-07-15&end_date=2020-07-15&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
