"location_name","requested_latitude","requested_longitude","start_date_utc","end_date_utc","time_utc","temperature_C","relative_humidity_percent","precipitation_mm","wind_speed_m_s","dew_point_C","precipitation_interval_start_utc","precipitation_interval_end_utc","source_hour_present","missing_fields","completeness_status","expected_hours","source_hours","complete_hours","provider","dataset","requested_model","constituent","classification","source_latitude","source_longitude","source_elevation_m","retrieved_at_utc","source_issued_at_utc","source_updated_at_utc","cell_selection","downscaling","interval_semantics","calculation_version","attribution","source_url","request_url"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T00:00:00.000Z",25.3,59,,4.33,16.8,"1939-12-31T23:00:00.000Z","1940-01-01T00:00:00.000Z",true,"precipitationMm","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T01:00:00.000Z",25,60,,4.43,16.7,"1940-01-01T00:00:00.000Z","1940-01-01T01:00:00.000Z",true,"precipitationMm","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T02:00:00.000Z",24.6,61,,4.63,16.7,"1940-01-01T01:00:00.000Z","1940-01-01T02:00:00.000Z",true,"precipitationMm","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T03:00:00.000Z",23.8,66,,4.42,17.1,"1940-01-01T02:00:00.000Z","1940-01-01T03:00:00.000Z",true,"precipitationMm","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T04:00:00.000Z",22.8,73,,4.12,17.6,"1940-01-01T03:00:00.000Z","1940-01-01T04:00:00.000Z",true,"precipitationMm","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T05:00:00.000Z",22.2,77,0.1,4,17.9,"1940-01-01T04:00:00.000Z","1940-01-01T05:00:00.000Z",true,"","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T06:00:00.000Z",21.8,80,0.1,3.9,18.2,"1940-01-01T05:00:00.000Z","1940-01-01T06:00:00.000Z",true,"","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T07:00:00.000Z",21.5,83,0,3.7,18.4,"1940-01-01T06:00:00.000Z","1940-01-01T07:00:00.000Z",true,"","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T08:00:00.000Z",21,86,0,3.41,18.6,"1940-01-01T07:00:00.000Z","1940-01-01T08:00:00.000Z",true,"","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
"honolulu-january-1940",21.3069,-157.8583,"1940-01-01","1940-01-01","1940-01-01T09:00:00.000Z",20.6,88,0,3.11,18.6,"1940-01-01T08:00:00.000Z","1940-01-01T09:00:00.000Z",true,"","partial",24,24,19,"Open-Meteo","ERA5 (requested)","era5",,"modeled_reanalysis",21.5,-158,4,"2026-09-11T00:26:47.281Z",,,"land","provider default elevation adjustment","instant meteorology; precipitation sum over preceding hour ending at time","reanalysis-adapter-v1","Weather data by Open-Meteo; ERA5 by Copernicus Climate Change Service (C3S) / ECMWF","https://open-meteo.com/en/docs/historical-weather-api","https://archive-api.open-meteo.com/v1/archive?latitude=21.3069&longitude=-157.8583&start_date=1940-01-01&end_date=1940-01-01&models=era5&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Cwind_speed_10m%2Cdew_point_2m&timezone=GMT&timeformat=unixtime&temperature_unit=celsius&wind_speed_unit=ms&precipitation_unit=mm&cell_selection=land"
